titulo,transcripcion
Como utilizar el flujo de fondos?,"vamos a ver dentro del menú informes
contables el punto flujo de fondos
este punto lo que trae son todos los
movimientos que se levanten de la
contabilidad de las cuentas
patrimoniales por defecto siempre va a
traer un mes para adelante pero este
rango de fechas se puede modificar
vamos a buscar así
esto nos muestra el total en la parte
superior y abajo nos va mostrando todos
los resultados los saldos de las cuentas
de caja de los bancos ahora tenemos
todas las cuentas
esto lo que me arroja es un saldo una
primera columna con el saldo anterior a
la fecha que estoy poniendo como
comienzo y después una columna por cada
fecha en la que se registra un
vencimiento con el importe que
corresponde obviamente a ese vencimiento
si yo quisiera agregar un movimiento que
no sale de la contabilidad que no está
en esta planilla puedo tocar el botón
presupuesto financiero y agregar un
movimiento en el que puedo determinar
una fecha de vencimiento un origen y un
destino supongamos que yo quiero
registrar que el día 30 de octubre voy a

recibir una transferencia en el banco
provincia
de 300 mil pesos
podría establecer cuál es el origen de
esta transferencia si fuera que una
cuenta corriente me va a ser ese
movimiento de fondos lo puedo establecer
acá y si no puedo dejar ninguna y

solamente registrar a dónde van a
ingresar los fondos pero no pongo hace
falta que determine el origen
en este caso
si los datos son correctos yo puedo
poner nuevo
se va a generar ese movimiento
en el banco provincia esto lo voy a
cerrar
y ahora cuando yo vuelva a buscar
en el banco provincia tengo el renglón
del banco provincia y el banco provincia
sin conciliar si yo vuelvo a buscar
vamos a ir de nuevo a ver el banco
provincial se agregó un renglón de
presupuesto y en la fecha que yo
establecí
veo la transferencia
estos movimientos de presupuesto yo
tengo la opción de incluirlos acá yo
tengo tildado incluye presupuesto
financiero o puedo pedirle que no los
levante si en algún momento quiero tirar
ese informe que sin esos que agregue a
mano o puedo tirar solo los del
presupuesto financiero acá va a aparecer
el del banco provincia que cargamos
recién
esto esta planilla se puede imprimir y
se puede exportar en el caso de que yo
por ejemplo agregue
como vimos recién un movimiento del
presupuesto financiero
tengo un selector de moneda que me
permite seleccionar pesos o dólares si
yo selecciono la moneda dólar siempre en
la planilla se va a expresar en pesos de
acuerdo a la cotización que esté
confirmada para este día en este caso la
cotización confirmada es 38 así que lo
que yo expresé acá en dólares en la
planilla finalmente se va a ver en pesos
con esa cotización"
Como reservar cheques para comercializar?,"para registrar la venta de valores el
punto que utilizamos es registración
movimiento de fondos y en tipo de
movimiento tenemos que seleccionar
depósito de cheques en cartera
tenemos que indicar en este combo cuál
es el banco que va a recibir esos
cheques y con el botón de multi
selección vamos a poder seleccionar
varios cheques de los que tenemos en
cartera
con el tilde azul lo confirmamos y al
grabar el movimiento los cheques salen
de la cartera de ingresar en el banco
esta sería la manera
más simple la quedaríamos en un solo
paso pero a veces sucede
que esos valores no son confirmados
inmediatamente por el banco y luego de
que yo registre el movimiento en el
sistema el banco me dice que de los tres
cheques que yo quise depositar hay uno
que vuelve rechazado por algún motivo a
veces depende del banco esos eso se hace
un poquito más lento y demora un poco
más entonces a pedido de los clientes lo
que se hizo fue desarrollar un nuevo
punto que también está dentro del
movimiento de fondos que es reserva de
cheques
esto lo que hace es los cheques que yo
indique en este listado los voy a marcar
para sacarlos de cheques en cartera
porque yo los estoy mandando al banco
pero todavía no les voy a confirmar como
depositados en la cuenta porque puede
ser que luego de varios días
efectivamente se depositen o el banco me
rechaza algunos de esos cheques entonces
lo que voy a hacer es generar una
reserva
vamos a seleccionar estos tres cheques
por ejemplo confirmamos con el tilde
azul y el sistema me dice se reservaron
los cheques para negociar con el número
tres yo ya sé que esos cheques no están
en cartera pero tampoco los voy a ver en
el banco
cuando el banco me confirme que
efectivamente ese dinero está acreditado
en mi cuenta ahí si voy a hacer un
depósito de cheques en cartera
en el banco

y voy
este no es el botón para registrar la
venta de valores vamos a utilizar el
punto de registración movimiento de
fondos
una opción es generar un movimiento de
fondos que sea depósito de cheques en
cartera

seleccionamos la cuenta de destino
y con el botón de multi selección elegir
todos los cheques que tengo en cartera y
quiero depositar en la cuenta del banco
que seleccione la otra opción
que depende de el banco con el que opere
y de lo que demora el banco en confirmar
el ingreso de ese dinero en la cuenta es
hacer una reserva primero hacer un
movimiento que se llama reserva de
cheques para negociar que lo que hace es
sacar esos cheques de cartera
me aparece esta ventana donde yo voy a
poder seleccionar cuáles son los chicos
los cheques que quiero reservar qué
quiere decir que los voy a reservar que
los voy a tener ahí pendientes los voy a
sacar de cartera para que nadie los use
pero no va a estar todavía ingresado en
el banco el dinero
el sistema me informa que se generó la
reserva número 4 en este caso
sólo confirmó
y ahora vamos a ver qué pasó con estos
cheques si yo voy a la consulta de
cheques en cartera
de acuerdo a lo que vimos recién sobre
en cartera no debería tener ninguno
porque teníamos nada más y son los que
guarde para depositar en el banco si yo
cambio el tilde cuando aparece
reservados pongo a buscar ya casi todos
estos cheques ya los tengo reservados
vamos a cerrar acá y vamos a hacer
finalmente cuando el banco me confirma
que está todo bien con esos cheques voy
a registrar el depósito de cheques en
cartera vamos a ir a movimientos de
fondos de nuevo
y vamos a seleccionar en lugar de buscar
cheque por cheque vamos a seleccionar
directamente esa reserva ahora lo vamos
a ver depósito de cheques en cartera en
el banco credicop
otra vez tocó el botón de multi
selección y en lugar de elegir cheques
en este caso no tengo ninguno
voy a seleccionar la reserva número 4
que es la que yo asocie recién aparecen
los dos cheques lo confirmo y ahora si
ingresa el dinero en el banco y estos
cheques
definitivamente salieron de los cheques
en cartera ya no están reservados y
están acreditados en el banco"
Cómo hacer una Orden de Pago con multiselección cheques en cartera?,"desde el punto registración movimiento
de fondos como ya vimos se pueden
realizar varios movimientos uno de esos
movimientos es el pago en cuenta
corriente
cuando yo selecciono el tipo de
movimiento pago luego tengo que
seleccionar a qué cuenta le quiero hacer
ese pago el sistema me levanta si tiene
un saldo pendiente
y desde la carpetita amarilla a este
botoncito amarillo se puedo seleccionar
con qué medio de pago voy a hacer este
movimiento puede ser que le pague como
un cheque propio con cheques que tengo
en cartera
estos son todos los cheques que tengo en
cartera y de utilizando este botón
amarillo yo puedo seleccionar un cheque
y si quisiera seleccionar otro tengo que
volver a tocar la carpeta amarilla
volver a seleccionar la solapa y elegir
otro cheque de los que tengo en cartera
esta es la manera que teníamos hasta hoy
de trabajar
pero el sistema agregó una nueva función
que es la siguiente si yo voy a hacer el
pago con cheques en cartera tengo la
posibilidad de seleccionar muchos
cheques en un solo movimiento para no
tener que entrar y salir de esa solapa
de formas de pago vamos a seleccionar la
cuenta
y en lugar cuando yo tengo que
seleccionar la forma de pago en lugar de
tocar el botón amarillo solo si voy a
pagar con cheques en cartera voy a poder
tocar este botón que es el de multi
selección
y acá van a aparecer solamente los
cheques que tengo en cartera y me va a
permitir seleccionar varios de una vez
yo puedo seleccionar todos estos
confirmar con el check azul
y grabar el movimiento de fondos o
imprimirlo de esta manera sólo si voy a
utilizar cheques en cartera puedo
hacerlos todo de una sola vez si
quisiera agregar además de estos cheques
en cartera un pago por ejemplo en
efectivo si toco el botón amarillo
ingreso el importe que va a salir de la
caja y esto se va a agregar como un
nuevo renglón pero todos los primeros
que son cheques en cartera los pude se
les puede agregar en un solo movimiento"
Como bloquear cuentas corrientes?,"listas bloquear cuentas corrientes desde
acá lo que podemos hacer es consultar la
cuenta el padrón de cuentas corrientes
ir filtrando los y seleccionar las
cuentas corrientes que queremos bloquear
qué significa que las tenemos bloqueadas
el bloqueo puede existir para lectura
para escritura o total supongamos que yo
tengo cuentas corrientes de los socios
de la empresa que tienen movimientos de
dinero y yo no quiero que algunos
empleados o algún grupo de empleados vea
los movimientos de esa de esa cuenta o
prefiero que no tengo problema en que lo
puedan ver pero no quiero que puedan
cargar ningún movimiento oa la inversa
que pueda encargar movimientos pero que
no puedan verlos entonces por eso
existen tres niveles de bloqueo el
bloqueo para la lectura para la
escritura ha vuelto tal vamos a hacer
una prueba
vamos a seleccionar cualquier tipo de
cuenta por ejemplo las cuentas tipo
clientes a cambio van a aparecer en el
segundo selector las cuentas de tipo
clientes vamos a dejar todas y el grupo
de usuarios planta por ejemplo
en esta grilla entonces aparecen las
cuentas de acuerdo a los filtros que yo
usé más arriba y seleccionó las cuentas
que quiero y digo que el bloqueo sea
total si entonces para el grupo planta
estas tres cuentas no van a existir
supongo bloquear confirma el bloqueo de
las cuentas seleccionadas y al decirle
que sí
a ver si aparece
ahí está en la columna de bloqueo me
muestra qué tipo de bloqueo tienen si
después de un tiempo las quiero
desbloquear o si me equivoqué lo que
hago es seleccionarlas y toco el botón
desbloquear confirma el desbloqueo le
ponemos que sí y ya están liberadas lo
que podemos hacer es filtrar por tipo
directamente ver todas las cuentas y
esto es una ayuda para si tenemos un
padrón muy extenso no tener que buscar
entre tantas"
Cómo aplicar un perfil impositivo a un grupo de cuentas corrientes?,"vamos a traer listas aplicación global
de impuestos a cuentas corrientes desde
este punto podemos hacer varias cosas lo
más sencillo que podemos hacer es
aplicar un perfil impositivo a todas las
cuentas que yo quiera que tengas
seleccionadas
fíjense que acá nos aparece una lista
con todas las cuentas corrientes
acá dice todas tipo de cuenta a todas
por eso nos muestra toda la lista y de
este lado tenemos un selector donde
podemos elegir un perfil impositivo
vamos a hacer un ejemplo yo quiero
seleccionar todas mis cuentas corrientes
que sean de tipo transporte si entonces
esta lista se acota ya en lugar de tener
todas las cuentas corrientes tengo solo
las que tienen tipo transporte
y acá voy a seleccionar el perfil
impositivo transportista inscripto
supongamos que yo tengo las cuentas con
todos los impuestos mal si los tengo
desordenados entonces quiero estar
segura de que todas mis cuentas tipo
transporte que sean inscriptos van a
tener los impuestos correctos pero qué
pasa yo dentro de mis cuentas tipo de
transporte puedo tener alguna que sea
monotributista entonces si bien acá
tengo todas las tipos transportistas voy
a tener que seleccionar
todas las que sean inscriptos y voy a
dejar afuera las que son monotributistas
voy a tener que buscar dentro de la
lista de transporte
cuáles son las inscriptas
una vez que seleccione todas lo que voy
a hacer es aplicar el perfil
y luego tocar este botón de afuera de
aplicar y el sistema me pregunta si
realmente quiero reemplazar los
impuestos que tienen actualmente estas
cuentas corrientes por los que tiene el
perfil que yo acabo de elegir y le voy a
decir que sí
el proceso se realizó con éxito de esta
manera lo que hicimos fue aplicar un
perfil impositivo a varias cuentas al
mismo tiempo esto sobre todo al comienzo
es muy útil si bien nosotros vamos a dar
de alta las cuentas corrientes con los
impuestos que ustedes nos indiquen puede
pasar que en algún momento tengan que
hacer una aplicación masiva de impuestos
y se hace por acá"
Cómo aplicar el padrón de ARBA ?,"vamos a seguir con este punto de
aplicación global de impuestos a cuentas
corrientes lo que vamos a ver ahora es
la aplicación de padrones si yo toco el
botón padrones
y fíjense que se abren varios botoncitos
vamos a tomar de ejemplo el padrón de
arba si yo voy a tener que entrar a la
página de arba con mi clave sheet y
descargar el padrón con las alícuotas de
este mes en mi máquina es importante que
cuando toco el botón del padrón de arba
yo me metí en la parte de retenciones de
ingresos brutos y fíjense que acá dice
retenciones salva voy a tener que tener
el tilde en buscar y extraer esto que
quiere decir que el sistema va a ir a
buscar ese archivo que yo descargue que
está sitiado porque tiene muchísima
información y lo va a extraer si lo va a
descomprimir entonces con este team de
rojo opuesto voy a tocar el botón de la
carpetita y el sistema me va a llevar a
que yo busque el archivo que descargue
que se llama padrón hereje ese con la
fecha
lo seleccionó
lo descomprime ya lo tengo en formato
txt lo seleccionó
y le abro y fíjense como la barra de
progreso me está mostrando de todas las
cuentas que están en ese padrón el
sistema busca cuáles son las que tengo
yo mis cuentas y le aplica las alícuotas
que corresponde a cada una
ahora el sistema me dice el proceso se
realizó con éxito procede a grabar le
pongo ok y toco este disco

que lo que hace es grabar todas esas
modificaciones del ico estás en el caso
de que haya modificaciones refresca las
alícuotas de todas las cuentas
corrientes
el proceso se realizó exitosamente
entonces ya tengo las alícuotas de
retenciones de todas mis cuentas
corrientes actualizadas qué pasa tenemos
que hacer lo mismo con las percepciones
las alícuotas de las percepciones es el
mismo padrón pero son impuestos
diferentes entonces vamos a tocar el
botón de percepciones con el mismo tilde
rojo en buscar y extraer
vamos a buscar el padrón lo
seleccionamos
el sistema lo descomprime me pide que lo
selecciones de vuelta
es muy importante cuando yo descargo el
padrón de arba prestar atención donde lo
descargo si lo tengo que tener guardado
en una carpeta a la que yo pueda acceder
fácilmente porque me lo va a pedir el
sistema en este punto el proceso se
realizó con éxito procede a grabar
le doy ok toco el disquete se repite el
mismo proceso
el sistema revisa todas las alícuotas de
percepciones de ingresos brutos de mis
cuentas corrientes

el proceso se realizó exitosamente
y ya lo podemos ahorrar"
Cómo aplicar el padron SISA ?,"vamos a hacer un ejemplo más de
aplicación de padrones porque en el caso
de el refor
acá lo tenemos este padrón de afip
en este caso el sistema solo va a ir a
buscar a la página a buscar el padrón no
es como en el que vimos hace un rato de
el padrón de arba que lo tenemos que
descargar nosotros para el ref o
directamente solo con el sistema ya
podemos operar fíjense que dice extraer
desde página si está tilda de esta
opción
yo toco el botón tomar archivo y el
sistema se conecta con la página de afip
busca el archivo del padrón
y lo descarga en mi máquina donde lo va
a descargar en el disco ce en la carpeta
de gestión comercial todos tienen esa
carpeta porque es la carpeta que cuando
instalamos el sistema la creamos

este archivo por supuesto contiene
muchísima información así que también
viene comprimido

fíjense como en la lista de cuentas
corrientes algunas listas se están
pintando las que están excluidas están
tachadas
sobre las listas las cuentas corrientes
que están tachadas que son las que están
excluidas en el padrón no hay
información y por eso están marcadas
como tachadas
el proceso se realizó con éxito procede
a grabar
yo lo que voy a tocar ahora es aplicar
confirma aplicar esta condición de este
impuesto a las cuentas seleccionadas
le pongo que sí

avanzando la barra de progreso y lo que
va a hacer es modificar las cuentas que
están pintadas de azul en la lista
fíjense que tienen estado activo
suspendido si hay alguna que en esta
lista está excluida
porque estaba excluida y tiene alguna
modificación
la va a seleccionar

va avanzando
en el sistema lo que hizo hasta ahora es
entrar a la página de afip descargar el
archivo descomprimirlo
y se te ando la información que tiene
con la información de mis cuentas
corrientes
una vez que nosotros grabemos esta
información el sistema va a ir a cambiar
los tildes que vimos cuando vimos los
impuestos de las cuentas corrientes

se va a actualizar la situación del
refor y eso va a modificar la situación
de estas cuentas corrientes como
receptor de las por ejemplo de la
retención de iva

avanzando

esta aplicación del padrón sería lógico
hacerla todos los días después vamos a
ver cómo hacer una consulta individual
por cuenta corriente para no tener que
aplicar el padrón
el proceso se realizó con éxito
y éstas ya están grabadas
no podemos cerrar"
Cómo dar de alta y asociar Grupos contables con Actividades?,"vamos a entrar al punto listas centros
de costos acá vamos a encontrar varios
puntos vamos a ver el primero y el
segundo juntos y vamos a ver grupos
contables y actividades de grupos
contables primero vamos a entrar acá en
grupos contables este cuadro es muy
sencillo para su funcionamiento lo que
vamos a hacer es escribir en el campo de
descripción el nombre de mi nuevo grupo
contable
y lo vamos a agregar sí y entonces ya
está formando parte de la lista para que
se usan estos grupos contables
cada vez que yo cargue un movimiento
en el que voy a utilizar alguna de mis
cuentas contables de resultado voy a
poder
y establecer además de la cuenta
contable una actividad para darle más
detalle a ese movimiento
las actividades no se dan de alta en las
cuentas contables sino en los grupos
contables para no tener que hacerlo
tantas veces entonces vamos a dar de
alta primero el grupo contable y luego
vamos a dar de alta las actividades de
ese grupo
vamos a ir a listas centros de costos
actividades de grupos contables bien que
está totalmente relacionado por eso está
bueno verlo junto a esto por ejemplo
nosotros dimos de alta
nuestro grupo contable y ahora lo vamos
a buscar acá en el selector en el grupo
contable grupo contable vamos a dar de
alta
la actividad
vamos a escribir acá en descripción
actividad 1 y la vamos a agregar y luego

vamos a dar de alta la actividad 2
entonces ya tenemos un grupo contable
que tiene dos actividades
de qué manera se relaciona esto con el
plan de cuentas una vez que tenemos
armado el grupo con sus actividades lo
que hacemos es ir a la lista de cuentas
contables
vamos a hacerlo
vamos a buscar la parte de resultados

y le vamos a decir al sistema que todas
las cuentas del grupo acopio
las vamos a poner en el grupo contable

un grupo contable que es el que acabamos
de dar de alta
vamos a pintar todas estas cuentas
las de ingresos y las de egreso de
acopio
yo las arrastró con el mouse
así las pinto y a todas les vamos a
asignar el grupo contable que dimos de
alta y vamos a modificar
se guardaron los datos correctamente
esto para qué me sirve para que yo
cuando tenga que registrar un
comprobante o tenga que emitir un
comprobante ya sea de ingreso o de
egreso que toque algunas de estas
cuentas contables pueda decir de qué
actividad es ese movimiento
de la actividad 1 o de la actividad 2 y
eso me va a dar más detalles al momento
de analizar el grupo si es rentable si
no cuál es la actividad que me da mayor
ganancia sí
y esto después lo vamos a utilizar en
diferentes informes que vamos a ir
viendo más adelante pero básicamente lo
que es importante en este punto es que
los grupos contables con sus respectivas
actividades se dan de alta desde este
punto de las listas"
"Cómo dar de alta, modificar o eliminar cobradores?","listas cobradores lo que nos permite es
dar de alta justamente los cobradores
que trabajan en la empresa para
asignarlos a las operaciones lo que
hacemos desde este punto es dar de alta
a la etiqueta con el nombre solamente y
después vamos a ir viendo más adelante
que en algunas operaciones puedo
establecer y dejar grabado cuál es el
cobrador que tiene asignada esa
operación esto me va a servir obviamente
para después poder hacer informes con
con estos datos desde acá lo que hacemos
es darlo de alta en el cuadro de
descripción vamos a poner los nombres
si tuviéramos unos comerciales le
podemos asignar una
le ponemos un alias y le podemos poner
también una comisión predeterminada

podemos dar de alta uno nuevo podemos
modificar
uno que ya existe
y si no estuviera usado en ninguna tabla
podríamos eliminarlo por ejemplo este
que sabemos que no está usado lo vamos a
eliminar"
"Cómo dar de alta, modificar o eliminar conceptos de conciliación automática?","listas conceptos de consideración
automática desde acá lo que vamos a
hacer es pre configurar la conciliación
automática cuando nosotros importamos un
archivo que los manda al banco con todos
los movimientos además de los
movimientos que puede ser que yo los
tengan el sistema está registrados o no
va a haber ítems puntos conceptos en
realidad que son los que son propios de
cada banco si algún impuesto sellado
percepciones
en muchos de esos conceptos para cada
banco tienen un nombre o una forma de
llamarlos particular por eso es que los
conceptos de conciliación automática se
dan de alta por banco
en este sector vamos a buscar el banco
que vamos a configurar si el banco
galicia en este caso aparece dos veces
porque porque esta empresa tiene dos
cuentas en el banco galicia cuenta 1 y
cuenta 2
vamos a seleccionar cualquiera
y lo que vamos a hacer es dar de alta el
nombre del concepto para que esto no
falle tiene que tener exactamente el
mismo nombre que tiene en el banco
entonces lo ideal es o hacerlo con el
extracto en la mano y copiar exactamente
el nombre o lo más seguro es intentar
hacer una conciliación automática sin
tener los conceptos dados de alta y
cuando el sistema detecte algún concepto
que no tiene dado de alta en ese momento
copiar el renglón directamente con
control se o con con el botón derecho
del mouse para copiar exactamente el
mismo nombre y eso lo pegamos acá en
descripción sí
supongamos que se llama sellado lo tengo
que poner tal cual porque el sistema va
a reconocer nombre y vamos a decir a que
cuenta contable una vez que se haga la
conciliación con qué cuenta contable lo
va a conciliar si vamos a poner
cualquiera no importa seleccionamos
cualquier cuenta contable y le tengo que
decir al sistema qué tipo de importe es
por ejemplo si es un sellado y es no
grabado bueno le voy a decir que es no
grabado en el caso de que yo esté dando
de alta un concepto que es si va es un
grabado lo voy a tener que tirar acá le
voy a tener que decir al sistema que
este concepto que estoy ingresando es y
va
y el concepto de si va el tipo de
importe debe ser gravados y lógico vamos
a ponerle
y genera movimiento o no es si luego de
la conciliación el sistema tiene que
generar el movimiento con este concepto
una vez que tengo dado configurado la
descripción y todos los datos que
requiere este concepto lo puedo agregar
toda esta lista de conceptos es la que
va a utilizar el sistema para poder
hacer la conciliación automática cuando
está lista ya esté llena suyo ya
completo completado todo voy a poder
seleccionar uno de los conceptos y
modificar por ejemplo el nombre como en
todos los puntos del sistema que venimos
viendo hasta ahora con el botón
modificar puedo modificar el nombre de
alguno de los tildes y si no está usado
en ninguna lista lo puedo eliminar"
